"Date","Aluminum","Arsenic","Bromine","Calcium","Chlorine","Chromium","Copper","Elemental Carbon","Elemental carbon I","Elemental carbon II","Elemental carbon III","Iron","Lead","Magnesium","Manganese","Nickel","Nitrate","Nitrite","Organic carbon","Organic carbon I","Organic carbon II","Organic carbon III","Organic carbon IV","Phosphorus","Potassium","Pyrolyzed organic carbon","Rubidium","Selenium","Silicon","Sodium","Strontium","Sulfate","Sulfur","Titanium","Vanadium","Zinc","Zirconium","PM25"
"05/21/2019",0.01755,3e-04,0.00105,0.01063,0.00179,7e-05,0.00877,0.2258,0.39158,0.02605,0,0.03118,0.00141,0.01497,0.00064,2e-05,0.44834,0.00387,0.86965,0.03809,0.2092,0.26562,0.16491,1e-05,0.01725,0.19183,0.00028,0.00012,0.0214,0.0229,0.00023,0.84354,0.28521,0.00209,5e-05,0.00216,0.00276,3.25963
"05/24/2019",0.01501,0.00013,0.00164,0.05101,1.07314,0.00091,0.00099,0.12417,0.16932,0.01656,0,0.02833,0.00105,0.12288,0.00067,0.00034,0.39875,0,0.5705,0.04568,0.12801,0.18084,0.15426,3e-05,0.04674,0.06171,0.00012,0.00111,0.02285,0.90088,0.00084,0.79823,0.2938,0.00119,0.00029,0.00282,0.00103,5.74823
"05/27/2019",0.01474,0.00141,0.00275,0.02686,0.00747,0.00109,0.0133,0.67187,0.61955,0.05232,0,0.03415,0.00198,0.04387,5e-04,0.00054,0.56129,0.00811,2.53558,0.23797,0.66434,0.89384,0.73943,4e-05,0.06859,0,0.00013,0.00141,0.03102,0.28583,0.00051,0.82073,0.31538,0.00203,0.0011,0.00583,0.00065,6.86304
"05/30/2019",0.02845,8e-05,0.0041,0.04866,0.0031,0.00169,0.00397,0.73307,0.69233,0.04074,0,0.09503,0.00184,0.01484,0.00424,0.00161,1.04538,0.00666,2.08684,0.22584,0.72853,0.71002,0.42245,0.00086,0.03904,0,1e-04,0.0015,0.0689,0.16607,0.00034,1.03924,0.41627,0.00387,0.00074,0.01456,NA,7.31649
"06/02/2019",0.02877,0.00086,0.00225,0.06185,0.13493,0.00163,0.00146,0.26504,0.31681,0.01703,0,0.03984,0.00294,0.08903,0.00089,6e-04,1.00681,NA,1.24182,0.1125,0.26998,0.50011,0.29043,4e-05,0.07129,0.0688,0.00031,0.00112,0.15989,0.63426,0.00068,1.19478,0.45386,0.00296,0.00134,0.0058,NA,6.13745
"06/05/2019",0.01729,0,0.00096,0.03593,0.12186,0.00096,0.00973,0.14237,0.17109,0.03102,0,0.07712,0.00185,0.03541,8e-04,0.00026,0.26897,NA,0.62155,0.05128,0.11676,0.20948,0.18429,0.00011,0.02823,0.05974,0.00012,0.00037,0.04736,0.27556,0.00033,0.50673,0.19078,0.0022,7e-05,0.0034,0.00026,2.88301
"06/08/2019",0.0025,2e-04,0.00109,0.01588,0.01727,0.00047,0.00879,0.14467,0.1777,0.01318,0,0.01948,0.00081,0.01678,0.00026,0.00034,0.23691,NA,0.6532,0.03813,0.14045,0.2295,0.19891,0.00085,0.02152,0.04621,3e-05,0.00027,0.00815,0.17573,0.00018,0.33985,0.13164,0.00077,0.00066,0.00249,0.00099,2.23592
"06/11/2019",0.03857,0.00011,0.00208,0.03193,0.00351,0.00094,0.00234,0.50788,0.54689,0.05986,0,0.06351,0.00087,0.007,0.00148,7e-04,0.27391,0.00559,1.30657,0.15681,0.34022,0.50875,0.20192,0.00139,0.02526,0.09887,2e-05,NA,0.07999,0.08136,0.00046,0.57807,0.21946,0.00458,0.00082,0.00628,0.00091,4.12377
"06/14/2019",0.01389,0.00085,0.00103,0.04792,0.01062,0.00157,0.00867,0.1519,0.21406,0.02334,0,0.0354,0.00323,0.02568,6e-04,0.00011,0.29402,0.00311,0.65126,0.05306,0.16081,0.23656,0.11533,1e-05,0.02396,0.0855,3e-05,0.00087,0.03633,0.24335,0.00045,0.5255,0.20383,0.00319,0.00022,0.00548,0.00044,2.83508
"06/17/2019",0.01913,0.00106,0.00083,0.04179,0.00124,0.00128,0.00274,0.30926,0.36833,0.05027,0,0.06726,0.00738,0.01418,0.00212,0.00041,0.29978,0.00442,0.9255,0.07027,0.27066,0.35021,0.12502,0.00025,0.03631,0.10934,0.00024,0.00057,0.05691,0.08645,0.00031,0.57369,0.21903,0.00358,0.00035,0.00683,NA,3.24983
