profile_code,assigned_profile
22201C,Industrial Dust
2220210,Industrial Dust
222022.5,Industrial Dust
2220230,Industrial Dust
22202C,Industrial Dust
2220310,Industrial Dust
222032.5,Industrial Dust
2220330,Industrial Dust
22203C,Industrial Dust
2230110,Biomass Burning
223012.5,Biomass Burning
2230130,Biomass Burning
22301C,Biomass Burning
2230210,Biomass Burning
223022.5,Biomass Burning
2230230,Biomass Burning
22302C,Biomass Burning
2230310,Biomass Burning
223032.5,Biomass Burning
2230330,Biomass Burning
22303C,Biomass Burning
2310310,Industrial
231032.5,Industrial
2310330,Industrial
23103C,Industrial
2310410,Industrial
231042.5,Industrial
2310430,Industrial
23104C,Industrial
2320210,Cement Manufacturing
232022.5,Cement Manufacturing
2320230,Cement Manufacturing
23202C,Cement Manufacturing
2410110,Industrial
241012.5,Industrial
2410130,Industrial
24101C,Industrial
2520110,Industrial
252012.5,Industrial
2520130,Industrial
25201C,Industrial
2530210,Biomass Burning
253022.5,Biomass Burning
2530230,Biomass Burning
25302C,Biomass Burning
2540110,Industrial Dust
254012.5,Industrial Dust
2540130,Industrial Dust
25401C,Industrial Dust
2540210,Industrial
254022.5,Industrial
2540230,Industrial
25402C,Industrial
2540310,Industrial
254032.5,Industrial
2540330,Industrial
25403C,Industrial
2540410,Industrial Dust
254042.5,Industrial Dust
2540430,Industrial Dust
25404C,Industrial Dust
2540510,Industrial
254052.5,Industrial
2540530,Industrial
25405C,Industrial
2540610,Industrial
254062.5,Industrial
2540630,Industrial
25406C,Industrial
2540710,Industrial Dust
254072.5,Industrial Dust
2540730,Industrial Dust
25407C,Industrial Dust
2540810,Industrial Dust
254082.5,Industrial Dust
2540830,Industrial Dust
25408C,Industrial Dust
2540910,Industrial
254092.5,Industrial
2540930,Industrial
25409C,Industrial
2541010,Industrial
254102.5,Industrial
2541030,Industrial
25410C,Industrial
2541110,Industrial Dust
254112.5,Industrial Dust
2541130,Industrial Dust
25411C,Industrial Dust
2541210,Industrial Dust
254122.5,Industrial Dust
2541230,Industrial Dust
25412C,Industrial Dust
2541310,Industrial Dust
254132.5,Industrial Dust
2541330,Industrial Dust
25413C,Industrial Dust
2541410,Industrial Dust
254142.5,Industrial Dust
2541430,Industrial Dust
25414C,Industrial Dust
2541510,Industrial Dust
254152.5,Industrial Dust
2541530,Industrial Dust
25415C,Industrial Dust
2541610,Industrial Dust
254162.5,Industrial Dust
2541630,Industrial Dust
25416C,Industrial Dust
2541710,Industrial
254172.5,Industrial
2541730,Industrial
25417C,Industrial
2541810,Industrial
254182.5,Industrial
2541830,Industrial
25418C,Industrial
2541910,Industrial
254192.5,Industrial
2541930,Industrial
25419C,Industrial
2542010,Industrial Dust
254202.5,Industrial Dust
2542030,Industrial Dust
25420C,Industrial Dust
2542110,Industrial
254212.5,Industrial
2542130,Industrial
25421C,Industrial
2542210,Industrial
254222.5,Industrial
2542230,Industrial
25422C,Industrial
2550010,Industrial
255002.5,Industrial
2550030,Industrial
25500C,Industrial
2570110,Industrial
257012.5,Industrial
2570130,Industrial
25701C,Industrial
2570210,Industrial Dust
257022.5,Industrial Dust
2570230,Industrial Dust
25702C,Industrial Dust
2570310,Industrial
257032.5,Industrial
2570330,Industrial
25703C,Industrial
2610110,Industrial
261012.5,Industrial
2610130,Industrial
26101C,Industrial
2620210,Industrial
262022.5,Industrial
2620230,Industrial
26202C,Industrial
2620310,Industrial
262032.5,Industrial
2620330,Industrial
26203C,Industrial
2620410,Industrial
262042.5,Industrial
2620430,Industrial
26204C,Industrial
2620510,Industrial
262052.5,Industrial
2620530,Industrial
26205C,Industrial
2620610,Industrial
262062.5,Industrial
2620630,Industrial
26206C,Industrial
2620710,Industrial Dust
262072.5,Industrial Dust
2620730,Industrial Dust
