profile_code,Aluminum,Arsenic,Bromine,Calcium,Chlorine,Chromium,Copper,Elemental Carbon,Elemental carbon I,Elemental carbon II,Elemental carbon III,Iron,Lead,Magnesium,Manganese,Nickel,Nitrate,Nitrite,Organic carbon,Organic carbon I,Organic carbon II,Organic carbon III,Organic carbon IV,Phosphorus,Potassium,Pyrolyzed organic carbon,Rubidium,Selenium,Silicon,Sodium,Strontium,Sulfate,Sulfur,Titanium,Vanadium,Zinc,Zirconium,assigned_profile
432012.5,1.275,0.03,0.0,2.1,0.0,0.007,0.06,40.0,0.0,0.0,0.0,1.65,0.015,0.54,0.007,0.09,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,1.275,0.007,0.03,0.0,0.0,0.075,0.03,0.3,0.0,Coal Combustion
4320130,1.275,0.03,0.0,2.1,0.0,0.007,0.06,40.0,0.0,0.0,0.0,1.65,0.015,0.54,0.007,0.09,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,1.275,0.007,0.03,0.0,0.0,0.075,0.03,0.3,0.0,Coal Combustion
43201C,1.275,0.03,0.0,2.1,0.0,0.007,0.06,40.0,0.0,0.0,0.0,1.65,0.015,0.54,0.007,0.09,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,1.275,0.007,0.03,0.0,0.0,0.075,0.03,0.3,0.0,Coal Combustion
4321,8.5092,0.0,0.0,0.2768,0.0,0.1378,0.0007,0.0695,0.056,0.1188,0.0071,3.5458,0.0037,0.0,0.063,1.9136,0.0,0.0,0.2175,0.0,0.0,0.0164,0.0888,0.0,0.0971,0.1123,0.0007,0.0285,24.8912,0.0,0.0155,55.2087,27.6199,0.7435,1.0333,0.1743,0.0157,Industrial
4322,5.8115,0.0,0.0,0.333,0.0,0.1023,0.0031,0.1194,0.1386,0.1808,0.0099,2.5452,0.0112,0.0,0.0497,1.3997,0.0,0.0,0.7265,0.2239,0.0,0.0581,0.2346,0.0,0.0755,0.2099,0.0008,0.0245,15.1747,0.0,0.0118,69.7281,29.5816,0.5321,0.7897,0.2244,0.0134,Industrial
4323,1.3859,0.0,0.0,23.6569,0.0,0.0213,0.0426,2.5213,2.1701,2.1464,0.0,1.428,0.045,0.1048,0.1676,0.0415,0.6781,0.0,21.6485,8.5855,1.8206,2.6137,6.8336,0.0,13.3556,1.7952,0.0752,0.0095,4.6955,2.3146,0.1196,27.3355,10.2361,0.218,0.0284,0.2085,0.013,Cement Manufacturing
4324,0.8902,0.0,0.0,16.3947,0.0,0.0071,0.0126,1.4728,1.642,0.4301,0.0,1.0625,0.03,0.0,0.1154,0.0071,17.3299,0.0,12.4071,1.8396,1.3874,3.4208,5.16,0.0,12.6214,0.5992,0.0743,0.0055,3.0358,0.9937,0.0822,30.4312,8.7073,0.1186,0.0134,0.1581,0.0087,Cement Manufacturing
4325,1.158,0.0023,0.0,18.6962,0.0,0.013,0.0176,5.0368,4.3412,1.5882,0.0,1.0882,0.0245,0.0813,0.1265,0.0123,9.3036,0.0,16.052,0.2232,4.0851,5.8612,4.99,0.0,14.1824,0.8926,0.0828,0.0031,3.6043,2.3014,0.0905,26.8664,10.1625,0.1434,0.0184,0.1687,0.0092,Cement Manufacturing
4326,1.206,0.0009,0.0,21.8957,0.0,0.0064,0.03,3.2474,2.4803,1.3389,0.0,1.2288,0.025,0.0,0.1442,0.0136,5.5257,0.0,11.8184,0.3353,3.0918,2.8056,5.0139,0.0,15.7536,0.5719,0.091,0.0059,3.7896,1.2752,0.1033,31.464,11.3202,0.1192,0.0073,0.2639,0.0059,Cement Manufacturing
4327,1.1284,0.0007,0.0,21.7593,0.0,0.0053,0.0219,0.891,0.7933,0.4355,0.0,1.183,0.0279,0.0,0.1363,0.0113,8.8984,0.0,3.9638,0.0,1.1444,1.5713,0.9103,0.0,16.1172,0.3378,0.0911,0.0047,3.6799,2.8493,0.0997,38.9524,12.6541,0.1476,0.0213,0.1842,0.0073,Cement Manufacturing
4328,0.596,0.0,0.0,10.45,0.0,0.0041,0.0064,1.4861,0.9657,0.8972,0.0,0.6264,0.0182,0.0287,0.0674,0.0064,24.5719,0.0,4.5901,0.0,1.0208,2.4577,0.7348,0.0,15.8459,0.3768,0.0861,0.0041,1.7504,1.8922,0.0563,33.5418,11.2909,0.0908,0.0123,0.1195,0.0041,Cement Manufacturing
4329,1.8261,0.0,0.0,24.0386,0.0,0.0253,0.0305,8.819,3.8016,4.3702,0.7377,2.5535,0.0425,0.0,0.1004,0.0494,1.536,0.0,20.8091,0.0,2.9153,6.6182,11.185,0.0,5.2655,0.0906,0.0429,0.0052,9.9794,0.1167,0.0957,17.7693,5.4234,0.3317,0.0309,2.1579,0.012,Cement Manufacturing
4330,0.817,0.0,0.0,14.8964,0.0,0.0182,0.0202,5.3299,5.8565,1.9327,0.0,1.1862,0.0383,0.0061,0.0444,0.0343,3.4033,0.0,18.6024,0.0,3.7927,5.4873,6.8632,0.0,1.8842,2.4592,0.0242,0.004,3.9521,1.5594,0.0908,41.5945,12.4816,0.1352,0.0222,0.4822,0.0121,Cement Manufacturing
4330110,8.6,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,32.0,3.4,0.0,0.0,0.04,0.33,0.01,0.0,0.0,Volcano
433012.5,8.6,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,32.0,3.4,0.0,0.0,0.04,0.33,0.01,0.0,0.0,Volcano
4330130,8.6,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,32.0,3.4,0.0,0.0,0.04,0.33,0.01,0.0,0.0,Volcano
43301C,8.6,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,32.0,3.4,0.0,0.0,0.04,0.33,0.01,0.0,0.0,Volcano
4330210,0.035,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.059,0.12,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.8,0.89,0.0,0.0,0.013,0.0,Biomass Burning
433022.5,0.035,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.059,0.12,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.8,0.89,0.0,0.0,0.013,0.0,Biomass Burning
4330230,0.035,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.059,0.12,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.8,0.89,0.0,0.0,0.013,0.0,Biomass Burning
43302C,0.035,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.059,0.12,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.8,0.89,0.0,0.0,0.013,0.0,Biomass Burning
4330310,13.2,0.006,0.0,4.2,0.0,0.013,0.0,0.0,0.0,0.0,0.0,6.2,0.007,1.5,0.051,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.013,0.001,21.0,0.34,0.0,0.0,0.0,0.73,0.025,0.022,0.03,Coal Combustion
433032.5,13.2,0.006,0.0,4.2,0.0,0.013,0.0,0.0,0.0,0.0,0.0,6.2,0.007,1.5,0.051,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.013,0.001,21.0,0.34,0.0,0.0,0.0,0.73,0.025,0.022,0.03,Coal Combustion
4330330,13.2,0.006,0.0,4.2,0.0,0.013,0.0,0.0,0.0,0.0,0.0,6.2,0.007,1.5,0.051,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.013,0.001,21.0,0.34,0.0,0.0,0.0,0.73,0.025,0.022,0.03,Coal Combustion
43303C,13.2,0.006,0.0,4.2,0.0,0.013,0.0,0.0,0.0,0.0,0.0,6.2,0.007,1.5,0.051,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.013,0.001,21.0,0.34,0.0,0.0,0.0,0.73,0.025,0.022,0.03,Coal Combustion
4330410,0.42,0.0,0.0,30.2,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.38,0.001,4.7,0.11,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.0,2.4,0.04,0.061,0.0,0.12,0.04,0.002,0.002,0.0,Cement Manufacturing
433042.5,0.42,0.0,0.0,30.2,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.38,0.001,4.7,0.11,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.0,2.4,0.04,0.061,0.0,0.12,0.04,0.002,0.002,0.0,Cement Manufacturing
4330430,0.42,0.0,0.0,30.2,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.38,0.001,4.7,0.11,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.0,2.4,0.04,0.061,0.0,0.12,0.04,0.002,0.002,0.0,Cement Manufacturing
43304C,0.42,0.0,0.0,30.2,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.38,0.001,4.7,0.11,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.0,2.4,0.04,0.061,0.0,0.12,0.04,0.002,0.002,0.0,Cement Manufacturing
